<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.DSKY:SMAL;D;20220401;90.4200000;98.1800000;87.6600000;89.0600000;14
MOEX.DSKY:SMAL;D;20220404;87.4000000;87.4000000;87.4000000;87.4000000;1
MOEX.DSKY:SMAL;D;20220405;87.4000000;89.9800000;82.8200000;89.9800000;17
MOEX.DSKY:SMAL;D;20220406;89.9800000;89.9800000;89.9800000;89.9800000;2
MOEX.DSKY:SMAL;D;20220407;86.0000000;86.0000000;86.0000000;86.0000000;1
MOEX.DSKY:SMAL;D;20220408;81.8200000;90.0000000;80.9000000;84.5400000;7
MOEX.DSKY:SMAL;D;20220411;84.0000000;98.1800000;83.1000000;98.1800000;9
MOEX.DSKY:SMAL;D;20220412;66.3600000;81.9800000;66.3600000;81.9800000;3
MOEX.DSKY:SMAL;D;20220413;82.6200000;82.6200000;82.5000000;82.5000000;5
MOEX.DSKY:SMAL;D;20220414;79.3000000;79.3000000;79.3000000;79.3000000;1
MOEX.DSKY:SMAL;D;20220415;75.5000000;78.9800000;75.5000000;78.9800000;16
MOEX.DSKY:SMAL;D;20220418;77.7200000;77.9800000;75.8600000;75.8600000;32
MOEX.DSKY:SMAL;D;20220419;80.0000000;80.0000000;74.7000000;74.7000000;11
MOEX.DSKY:SMAL;D;20220420;77.0000000;77.0000000;76.5000000;76.5000000;3
MOEX.DSKY:SMAL;D;20220421;81.4000000;81.4000000;81.4000000;81.4000000;5
MOEX.DSKY:SMAL;D;20220422;74.5000000;75.0000000;74.0000000;75.0000000;4
MOEX.DSKY:SMAL;D;20220425;81.6000000;81.6000000;72.3800000;72.3800000;6
MOEX.DSKY:SMAL;D;20220426;81.6000000;81.6000000;77.0000000;77.0000000;2
MOEX.DSKY:SMAL;D;20220427;73.0800000;77.0000000;73.0800000;77.0000000;12
MOEX.DSKY:SMAL;D;20220428;75.8200000;78.5800000;75.8200000;78.5800000;2
MOEX.DSKY:SMAL;D;20220429;78.4600000;78.4600000;77.0000000;77.0000000;4
MOEX.DSKY:SMAL;D;20220504;78.5800000;78.5800000;78.5800000;78.5800000;1
MOEX.DSKY:SMAL;D;20220505;75.9800000;78.0000000;75.9800000;78.0000000;2
MOEX.DSKY:SMAL;D;20220506;75.0000000;78.6000000;72.8800000;72.8800000;10
MOEX.DSKY:SMAL;D;20220511;81.6000000;81.6000000;81.6000000;81.6000000;1
MOEX.DSKY:SMAL;D;20220512;73.8800000;74.1000000;73.1000000;73.1000000;5
MOEX.DSKY:SMAL;D;20220513;72.2800000;72.2800000;72.2800000;72.2800000;1
MOEX.DSKY:SMAL;D;20220516;72.0200000;72.0200000;72.0200000;72.0200000;4
MOEX.DSKY:SMAL;D;20220517;73.3000000;76.9800000;73.3000000;76.9800000;7
MOEX.DSKY:SMAL;D;20220518;72.0200000;73.5200000;72.0200000;73.5200000;6
MOEX.DSKY:SMAL;D;20220519;71.0200000;79.9400000;71.0200000;74.0000000;20
MOEX.DSKY:SMAL;D;20220520;79.9800000;79.9800000;72.0600000;72.0600000;3
MOEX.DSKY:SMAL;D;20220523;72.2400000;72.2400000;71.0200000;71.0200000;3
MOEX.DSKY:SMAL;D;20220524;70.3000000;70.3000000;67.8800000;67.8800000;8
MOEX.DSKY:SMAL;D;20220525;68.5000000;68.5000000;68.5000000;68.5000000;1
MOEX.DSKY:SMAL;D;20220527;68.8200000;70.6600000;68.8200000;70.0000000;7
MOEX.DSKY:SMAL;D;20220601;68.1000000;68.1000000;68.1000000;68.1000000;3
MOEX.DSKY:SMAL;D;20220603;67.0200000;67.0200000;67.0000000;67.0000000;2
MOEX.DSKY:SMAL;D;20220606;71.9600000;71.9600000;66.5800000;66.5800000;2
MOEX.DSKY:SMAL;D;20220607;65.0800000;66.2400000;64.8000000;64.8000000;8
MOEX.DSKY:SMAL;D;20220609;68.2600000;72.9800000;67.7800000;72.9800000;6
MOEX.DSKY:SMAL;D;20220610;66.9200000;66.9200000;66.9200000;66.9200000;2
MOEX.DSKY:SMAL;D;20220614;65.6800000;65.6800000;65.6800000;65.6800000;2
MOEX.DSKY:SMAL;D;20220615;64.8000000;65.0000000;64.6400000;64.6400000;7
MOEX.DSKY:SMAL;D;20220616;65.6800000;65.8400000;65.0800000;65.0800000;5
MOEX.DSKY:SMAL;D;20220617;65.1200000;74.0000000;65.1200000;74.0000000;14
MOEX.DSKY:SMAL;D;20220620;65.0000000;69.0200000;65.0000000;69.0200000;2
MOEX.DSKY:SMAL;D;20220621;66.8000000;66.8000000;65.9400000;66.0200000;7
MOEX.DSKY:SMAL;D;20220622;65.7800000;65.7800000;65.4800000;65.5800000;3
MOEX.DSKY:SMAL;D;20220623;65.2800000;65.2800000;64.2200000;64.2200000;2
MOEX.DSKY:SMAL;D;20220624;68.7200000;69.6800000;67.6200000;67.6200000;24
MOEX.DSKY:SMAL;D;20220627;72.3600000;72.3600000;69.9200000;69.9200000;7
MOEX.DSKY:SMAL;D;20220629;70.7800000;70.7800000;69.6800000;69.6800000;2
MOEX.DSKY:SMAL;D;20220630;68.7200000;69.7400000;67.6000000;69.1200000;5
MOEX.DSKY:SMAL;D;20220704;68.0000000;68.0000000;62.9200000;62.9200000;5
MOEX.DSKY:SMAL;D;20220705;69.9000000;71.5800000;69.5200000;69.5200000;32
MOEX.DSKY:SMAL;D;20220708;75.4800000;76.5600000;75.2600000;75.2600000;7
MOEX.DSKY:SMAL;D;20220711;69.4200000;78.3600000;69.4200000;78.3600000;2
MOEX.DSKY:SMAL;D;20220712;73.0000000;73.0000000;72.4000000;72.4000000;3
MOEX.DSKY:SMAL;D;20220714;70.6800000;70.8600000;69.3000000;69.3000000;11
MOEX.DSKY:SMAL;D;20220718;73.2200000;73.9400000;73.2200000;73.9400000;10
MOEX.DSKY:SMAL;D;20220719;75.4800000;76.0000000;74.0200000;74.2800000;8
MOEX.DSKY:SMAL;D;20220720;76.8400000;77.1600000;76.8400000;77.1600000;11
MOEX.DSKY:SMAL;D;20220721;77.1600000;77.1600000;77.1600000;77.1600000;5
MOEX.DSKY:SMAL;D;20220722;79.0200000;79.0200000;77.5000000;77.5000000;2
MOEX.DSKY:SMAL;D;20220725;77.2000000;77.2000000;74.9800000;74.9800000;10
MOEX.DSKY:SMAL;D;20220726;77.5400000;78.0000000;72.0200000;78.0000000;16
MOEX.DSKY:SMAL;D;20220727;80.2600000;81.2800000;79.5000000;79.5000000;18
MOEX.DSKY:SMAL;D;20220728;78.8200000;84.9800000;78.8200000;84.9800000;4
MOEX.DSKY:SMAL;D;20220729;79.2800000;79.9000000;79.2800000;79.8800000;4
MOEX.DSKY:SMAL;D;20220801;80.0000000;80.0000000;79.5200000;79.5200000;6
MOEX.DSKY:SMAL;D;20220802;77.7400000;77.7400000;77.7400000;77.7400000;1
MOEX.DSKY:SMAL;D;20220805;77.0000000;77.0000000;75.8600000;76.9400000;3
MOEX.DSKY:SMAL;D;20220808;86.9000000;86.9000000;86.9000000;86.9000000;1
MOEX.DSKY:SMAL;D;20220809;86.9800000;86.9800000;86.9800000;86.9800000;1
MOEX.DSKY:SMAL;D;20220810;89.1400000;89.1600000;89.1400000;89.1600000;3
MOEX.DSKY:SMAL;D;20220812;92.1200000;92.1200000;92.1200000;92.1200000;1
MOEX.DSKY:SMAL;D;20220816;78.5600000;78.5600000;78.5600000;78.5600000;8
MOEX.DSKY:SMAL;D;20220817;82.0000000;82.9800000;82.0000000;82.9800000;12
MOEX.DSKY:SMAL;D;20220822;83.0000000;83.5800000;83.0000000;83.5800000;2
MOEX.DSKY:SMAL;D;20220823;86.0000000;86.4000000;84.8800000;86.4000000;8
MOEX.DSKY:SMAL;D;20220824;89.9000000;89.9000000;87.8600000;87.8600000;10
MOEX.DSKY:SMAL;D;20220825;86.9800000;86.9800000;86.1600000;86.1600000;10
MOEX.DSKY:SMAL;D;20220826;85.8200000;85.8200000;85.8200000;85.8200000;1
MOEX.DSKY:SMAL;D;20220829;98.4000000;98.4000000;98.4000000;98.4000000;3
MOEX.DSKY:SMAL;D;20220831;86.0200000;86.9400000;86.0200000;86.2400000;8
MOEX.DSKY:SMAL;D;20220901;84.6800000;84.6800000;84.6800000;84.6800000;1
MOEX.DSKY:SMAL;D;20220902;85.8200000;85.8200000;85.8200000;85.8200000;1
MOEX.DSKY:SMAL;D;20220905;97.5600000;97.5600000;97.5600000;97.5600000;1
MOEX.DSKY:SMAL;D;20220906;83.0800000;86.0400000;82.5800000;85.1600000;15
MOEX.DSKY:SMAL;D;20220907;83.5800000;85.9000000;82.5600000;82.5600000;12
MOEX.DSKY:SMAL;D;20220908;85.4000000;85.4000000;85.4000000;85.4000000;2
MOEX.DSKY:SMAL;D;20220909;93.9800000;95.2200000;81.0200000;95.2200000;3
MOEX.DSKY:SMAL;D;20220913;82.4800000;82.4800000;82.4800000;82.4800000;1
MOEX.DSKY:SMAL;D;20220916;84.5200000;95.6800000;84.5200000;95.6800000;7
MOEX.DSKY:SMAL;D;20220920;82.1200000;82.1200000;78.2000000;78.2000000;12
MOEX.DSKY:SMAL;D;20220923;70.8600000;70.8600000;67.6000000;67.6000000;6
MOEX.DSKY:SMAL;D;20220926;68.7400000;68.7400000;62.0200000;62.0200000;12
MOEX.DSKY:SMAL;D;20220927;60.7000000;62.4800000;60.7000000;62.4800000;10
MOEX.DSKY:SMAL;D;20220928;64.2000000;64.2000000;64.2000000;64.2000000;1
MOEX.DSKY:SMAL;D;20220929;65.3600000;68.7600000;65.0000000;65.0000000;5
MOEX.DSKY:SMAL;D;20220930;68.2000000;68.2000000;68.2000000;68.2000000;1
MOEX.DSKY:SMAL;D;20221003;65.7000000;72.9400000;65.7000000;71.1600000;7
MOEX.DSKY:SMAL;D;20221004;72.4000000;72.4000000;72.4000000;72.4000000;7
MOEX.DSKY:SMAL;D;20221007;74.5400000;74.5800000;74.5400000;74.5800000;3
MOEX.DSKY:SMAL;D;20221017;74.5400000;74.5400000;71.9800000;71.9800000;7
MOEX.DSKY:SMAL;D;20221018;74.6000000;74.6000000;73.5000000;73.5000000;3
MOEX.DSKY:SMAL;D;20221019;78.8000000;78.8000000;78.8000000;78.8000000;1
MOEX.DSKY:SMAL;D;20221020;81.3000000;81.3000000;81.3000000;81.3000000;1
MOEX.DSKY:SMAL;D;20221024;69.7200000;75.0000000;69.7200000;75.0000000;6
MOEX.DSKY:SMAL;D;20221025;64.1000000;75.0200000;64.1000000;75.0200000;10
MOEX.DSKY:SMAL;D;20221027;82.3800000;82.3800000;71.7600000;78.1800000;40
MOEX.DSKY:SMAL;D;20221028;82.3800000;82.3800000;82.3800000;82.3800000;10
MOEX.DSKY:SMAL;D;20221031;82.3800000;82.3800000;82.3800000;82.3800000;3
MOEX.DSKY:SMAL;D;20221101;75.0200000;80.9400000;73.1400000;75.0000000;18
MOEX.DSKY:SMAL;D;20221102;73.0000000;74.3800000;73.0000000;74.3800000;13
MOEX.DSKY:SMAL;D;20221103;72.8800000;72.9000000;72.8800000;72.9000000;2
MOEX.DSKY:SMAL;D;20221107;82.3800000;82.3800000;53.9200000;53.9400000;170
MOEX.DSKY:SMAL;D;20221108;57.0000000;58.2800000;46.1200000;50.0000000;211
MOEX.DSKY:SMAL;D;20221109;51.5000000;54.9400000;46.0200000;46.0200000;111
MOEX.DSKY:SMAL;D;20221110;47.1200000;49.0000000;47.1200000;49.0000000;14
MOEX.DSKY:SMAL;D;20221111;48.0800000;53.0000000;48.0800000;53.0000000;37
MOEX.DSKY:SMAL;D;20221114;58.1000000;64.0000000;58.1000000;64.0000000;22
MOEX.DSKY:SMAL;D;20221115;60.0000000;63.6400000;57.0000000;57.0000000;16
MOEX.DSKY:SMAL;D;20221116;57.2000000;65.5000000;57.2000000;60.0000000;10
MOEX.DSKY:SMAL;D;20221118;64.2800000;64.2800000;64.2800000;64.2800000;6
MOEX.DSKY:SMAL;D;20221121;78.0000000;78.0000000;65.1000000;65.1000000;9
MOEX.DSKY:SMAL;D;20221122;73.9000000;73.9000000;66.6800000;68.8200000;29
