<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20220610;4298.0000000;4331.0000000;4185.0000000;4241.0000000;103710
MGNT;D;20220614;4210.0000000;4237.5000000;4160.0000000;4200.0000000;58784
MGNT;D;20220615;4197.5000000;4300.0000000;4150.0000000;4257.0000000;132469
MGNT;D;20220616;4298.5000000;4399.5000000;4261.5000000;4393.0000000;126608
MGNT;D;20220617;4383.0000000;4399.5000000;4295.0000000;4319.0000000;72114
MGNT;D;20220620;4310.0000000;4370.0000000;4287.5000000;4370.0000000;66105
MGNT;D;20220621;4360.0000000;4365.0000000;4250.0000000;4365.0000000;83015
MGNT;D;20220622;4355.0000000;4474.0000000;4275.0000000;4458.0000000;174144
MGNT;D;20220623;4460.0000000;4469.0000000;4315.0000000;4405.0000000;145039
MGNT;D;20220624;4399.5000000;4420.0000000;4247.0000000;4359.0000000;130128
MGNT;D;20220627;4345.0000000;4360.0000000;4294.0000000;4360.0000000;57987
MGNT;D;20220628;4347.5000000;4360.0000000;4297.0000000;4327.0000000;105275
MGNT;D;20220629;4326.0000000;4359.0000000;4271.0000000;4316.0000000;69040
MGNT;D;20220630;4302.0000000;4347.5000000;4192.5000000;4238.0000000;176948
MGNT;D;20220701;4251.0000000;4312.0000000;4155.0000000;4155.0000000;74895
MGNT;D;20220704;4225.0000000;4275.0000000;4155.0000000;4198.0000000;77029
MGNT;D;20220705;4199.5000000;4314.0000000;4172.5000000;4314.0000000;95055
MGNT;D;20220706;4300.0000000;4360.0000000;4280.0000000;4306.0000000;109281
MGNT;D;20220707;4312.5000000;4458.0000000;4300.5000000;4420.0000000;206506
MGNT;D;20220708;4420.0000000;4448.0000000;4359.0000000;4439.0000000;75406
MGNT;D;20220711;4427.0000000;4429.5000000;4282.5000000;4385.0000000;66586
MGNT;D;20220712;4315.0000000;4369.5000000;4250.0000000;4300.0000000;78231
MGNT;D;20220713;4311.5000000;4328.0000000;4250.0000000;4255.5000000;83849
MGNT;D;20220714;4270.5000000;4285.5000000;4182.5000000;4228.0000000;69013
MGNT;D;20220715;4230.0000000;4380.0000000;4200.0000000;4380.0000000;104709
MGNT;D;20220718;4378.5000000;4425.0000000;4308.0000000;4382.0000000;100268
MGNT;D;20220719;4383.0000000;4394.5000000;4225.0000000;4355.0000000;105785
MGNT;D;20220720;4351.0000000;4370.5000000;4271.5000000;4315.0000000;56003
MGNT;D;20220721;4333.5000000;4333.5000000;4234.5000000;4251.0000000;49505
MGNT;D;20220722;4248.5000000;4345.0000000;4240.5000000;4341.0000000;75012
MGNT;D;20220725;4342.5000000;4390.0000000;4317.0000000;4345.0000000;61994
MGNT;D;20220726;4355.0000000;4520.0000000;4351.0000000;4512.0000000;156672
MGNT;D;20220727;4521.5000000;4638.0000000;4521.0000000;4630.0000000;166429
MGNT;D;20220728;4698.0000000;4782.0000000;4630.0000000;4765.5000000;372654
MGNT;D;20220729;4771.0000000;4889.0000000;4716.0000000;4889.0000000;251989
MGNT;D;20220801;4881.0000000;4881.0000000;4765.5000000;4800.0000000;251631
MGNT;D;20220802;4796.0000000;4885.0000000;4720.0000000;4813.0000000;209687
MGNT;D;20220803;4813.0000000;4948.0000000;4808.5000000;4910.0000000;259468
MGNT;D;20220804;4910.0000000;4975.0000000;4856.5000000;4883.0000000;329501
MGNT;D;20220805;4860.5000000;4880.0000000;4738.0000000;4799.5000000;245088
MGNT;D;20220808;4855.5000000;4948.5000000;4835.0000000;4880.0000000;120183
MGNT;D;20220809;4890.0000000;5059.0000000;4852.5000000;5032.5000000;294820
MGNT;D;20220810;5036.0000000;5088.5000000;5000.5000000;5024.0000000;119764
MGNT;D;20220811;5015.0000000;5069.0000000;4950.0000000;5002.5000000;88843
MGNT;D;20220812;5004.0000000;5139.5000000;4977.5000000;5134.0000000;98943
MGNT;D;20220815;5145.0000000;5186.5000000;5063.0000000;5159.5000000;133346
MGNT;D;20220816;5160.0000000;5177.0000000;5102.0000000;5177.0000000;78902
MGNT;D;20220817;5162.5000000;5300.0000000;5151.0000000;5270.0000000;196192
MGNT;D;20220818;5275.0000000;5354.0000000;5250.0000000;5350.0000000;125583
MGNT;D;20220819;5359.5000000;5359.5000000;5174.0000000;5245.0000000;387281
MGNT;D;20220822;5243.0000000;5334.5000000;5196.0000000;5302.0000000;154022
MGNT;D;20220823;5302.0000000;5331.0000000;5254.0000000;5319.0000000;120641
MGNT;D;20220824;5317.0000000;5393.0000000;5281.0000000;5393.0000000;145640
MGNT;D;20220825;5384.0000000;5450.0000000;5382.5000000;5440.0000000;123671
MGNT;D;20220826;5430.0000000;5469.0000000;5382.5000000;5459.5000000;75001
MGNT;D;20220829;5438.5000000;5459.0000000;5418.0000000;5450.0000000;68008
